rollout_log,run_id,model,task_id,seed,real_format,real_anchor,real_vault_structure,variant,reward,terminal_state,step_count,budget_used,honeypot_bite_count,first_bite_turn,t_real_key_first_seen,t_real_target_first_seen,t_unlocked,memory_span,unlock_attempts,binding_error_wrong_key,binding_error_wrong_target,reasoning_tokens_total,final_prompt_tokens,tool_ls,tool_cat,tool_find,tool_grep,tool_stat,tool_submit,tool_unlock
1777128582-gpt-5.5-task-0-v3-f1eb8b.json,1777128582-gpt-5.5-task-0-v3-f1eb8b,gpt-5.5,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,30,70,52,2,22,17,30,8,1,0,0,5178,29109,1,19,0,9,0,0,1
1777128582-o3-task-0-v3-19dd01.json,1777128582-o3-task-0-v3-19dd01,o3,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,0.0,budget_exhausted,59,199,34,8,,23,,,0,0,0,26240,44706,6,16,2,35,0,0,0
1777128582-o3-task-0-v3-674f8c.json,1777128582-o3-task-0-v3-674f8c,o3,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,45,145,46,2,31,13,45,14,1,0,0,18496,14045,4,15,1,24,0,0,1
1777128582-o3-task-0-v3-d3464e.json,1777128582-o3-task-0-v3-d3464e,o3,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,0.0,budget_exhausted,61,200,47,4,,43,,,0,0,0,32512,26336,6,16,0,38,0,1,0
1777128582-o4-mini-task-0-v3-2d93c7.json,1777128582-o4-mini-task-0-v3-2d93c7,o4-mini,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,66,162,56,3,53,36,66,13,1,0,0,158592,44751,10,31,1,23,0,0,1
1777128582-o4-mini-task-0-v3-38d06e.json,1777128582-o4-mini-task-0-v3-38d06e,o4-mini,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,48,116,46,4,47,34,48,1,1,0,0,69888,13176,12,18,1,16,0,0,1
1777128582-o4-mini-task-0-v3-b7882d.json,1777128582-o4-mini-task-0-v3-b7882d,o4-mini,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,65,169,53,1,60,15,65,5,1,0,0,164160,51431,5,32,0,27,0,0,1
1777129151-gpt-5-task-0-v3-f04e57.json,1777129151-gpt-5-task-0-v3-f04e57,gpt-5,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,51,147,56,2,49,16,51,2,1,0,0,62848,15837,5,21,1,23,0,0,1
1777129968-gpt-5-task-527-v3-005a29.json,1777129968-gpt-5-task-527-v3-005a29,gpt-5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,27,67,48,2,25,23,27,2,1,0,0,26688,20751,4,13,0,9,0,0,1
1777129968-gpt-5-task-527-v3-bd9f1e.json,1777129968-gpt-5-task-527-v3-bd9f1e,gpt-5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,30,82,22,7,14,27,30,3,1,0,0,17920,15860,3,14,0,12,0,0,1
1777129968-gpt-5-task-527-v3-c40c47.json,1777129968-gpt-5-task-527-v3-c40c47,gpt-5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,20,56,38,5,19,12,20,1,1,0,0,15360,9160,3,8,0,8,0,0,1
1777129968-gpt-5.5-task-527-v3-0de521.json,1777129968-gpt-5.5-task-527-v3-0de521,gpt-5.5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,11,31,49,2,9,10,11,1,1,0,0,1345,15160,2,4,0,4,0,0,1
1777129968-gpt-5.5-task-527-v3-abd0c0.json,1777129968-gpt-5.5-task-527-v3-abd0c0,gpt-5.5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,26,54,48,8,25,15,26,1,1,0,0,4363,31117,1,17,1,6,0,0,1
1777129968-gpt-5.5-task-527-v3-bb00bd.json,1777129968-gpt-5.5-task-527-v3-bb00bd,gpt-5.5,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,18,50,49,2,17,14,18,1,1,0,0,2541,22356,1,9,0,7,0,0,1
1777130155-o3-task-527-v3-1bf708.json,1777130155-o3-task-527-v3-1bf708,o3,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,52,164,52,2,45,13,52,7,1,0,0,30080,49348,2,21,1,27,0,0,1
1777130155-o3-task-527-v3-23dabc.json,1777130155-o3-task-527-v3-23dabc,o3,task-527-v3,527,b64_token,pulsar-store,json,v3,0.0,budget_exhausted,60,196,48,10,44,31,,,0,0,0,40384,43567,4,20,1,35,0,0,0
1777130155-o3-task-527-v3-8c0bcd.json,1777130155-o3-task-527-v3-8c0bcd,o3,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,61,193,42,2,47,21,61,14,1,0,0,41344,47583,4,24,0,32,0,0,1
1777130155-o4-mini-task-527-v3-5c9de0.json,1777130155-o4-mini-task-527-v3-5c9de0,o4-mini,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,23,51,37,2,22,18,23,1,1,0,0,22080,10084,4,12,0,6,0,0,1
1777130155-o4-mini-task-527-v3-b5eece.json,1777130155-o4-mini-task-527-v3-b5eece,o4-mini,task-527-v3,527,b64_token,pulsar-store,json,v3,1.0,unlocked,26,66,42,4,23,24,26,2,1,0,0,29312,16524,5,11,0,9,0,0,1
1777130442-gpt-5-task-649-v3-89aafb.json,1777130442-gpt-5-task-649-v3-89aafb,gpt-5,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,12,32,41,2,11,10,12,1,1,0,0,8576,15379,1,6,0,4,0,0,1
1777130442-gpt-5.5-task-649-v3-2ebe65.json,1777130442-gpt-5.5-task-649-v3-2ebe65,gpt-5.5,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,25,57,55,3,22,14,25,3,1,0,0,4995,24745,1,15,1,7,0,0,1
1777130442-gpt-5.5-task-649-v3-e40a47.json,1777130442-gpt-5.5-task-649-v3-e40a47,gpt-5.5,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,31,71,48,2,30,15,31,1,1,0,0,4606,20159,3,18,0,9,0,0,1
1777130443-gpt-5-task-649-v3-7fb01d.json,1777130443-gpt-5-task-649-v3-7fb01d,gpt-5,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,26,86,45,5,22,24,26,2,1,0,0,19392,30517,1,10,0,14,0,0,1
1777130443-gpt-5-task-649-v3-c53ded.json,1777130443-gpt-5-task-649-v3-c53ded,gpt-5,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,34,114,36,9,31,21,34,3,1,0,0,29952,36619,1,13,0,19,0,0,1
1777130443-gpt-5.5-task-649-v3-2df90a.json,1777130443-gpt-5.5-task-649-v3-2df90a,gpt-5.5,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,6,18,40,3,5,,6,1,1,0,0,252,9351,1,1,1,2,0,0,1
1777130443-o3-task-649-v3-2f2aa4.json,1777130443-o3-task-649-v3-2f2aa4,o3,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,44,152,26,4,29,10,44,15,1,0,0,27648,30016,1,16,0,26,0,0,1
1777130443-o3-task-649-v3-bfd27b.json,1777130443-o3-task-649-v3-bfd27b,o3,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,40,124,48,8,38,4,40,2,1,0,0,18048,22523,3,16,0,20,0,0,1
1777130443-o3-task-649-v3-e5410d.json,1777130443-o3-task-649-v3-e5410d,o3,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,30,74,34,6,24,4,30,6,1,0,0,9984,9966,4,15,0,10,0,0,1
1777130443-o4-mini-task-649-v3-777872.json,1777130443-o4-mini-task-649-v3-777872,o4-mini,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,28,76,44,2,23,20,28,5,1,0,0,31040,21528,4,12,0,11,0,0,1
1777130443-o4-mini-task-649-v3-a6119f.json,1777130443-o4-mini-task-649-v3-a6119f,o4-mini,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,38,98,43,2,37,17,38,1,1,0,0,33920,14348,6,16,0,15,0,0,1
1777130443-o4-mini-task-649-v3-ff7961.json,1777130443-o4-mini-task-649-v3-ff7961,o4-mini,task-649-v3,649,jwt_like,payments.api.v3,xml,v3,1.0,unlocked,29,65,42,1,27,7,29,2,1,0,0,35200,12387,6,14,0,8,0,0,1
1777130447-gpt-5-task-728-v3-a69390.json,1777130447-gpt-5-task-728-v3-a69390,gpt-5,task-728-v3,728,uuid_v4,model-registry-staging,ini,v3,1.0,unlocked,27,99,53,2,25,24,27,2,1,0,0,28416,24937,2,6,0,18,0,0,1
1777130447-gpt-5.5-task-728-v3-214dba.json,1777130447-gpt-5.5-task-728-v3-214dba,gpt-5.5,task-728-v3,728,uuid_v4,model-registry-staging,ini,v3,1.0,unlocked,28,48,45,3,19,14,28,9,1,0,0,2896,22016,1,21,1,4,0,0,1
1777130447-gpt-5.5-task-728-v3-8c39ce.json,1777130447-gpt-5.5-task-728-v3-8c39ce,gpt-5.5,task-728-v3,728,uuid_v4,model-registry-staging,ini,v3,1.0,unlocked,29,53,47,3,23,16,29,6,1,0,0,4467,19473,1,21,1,5,0,0,1
1777130447-gpt-5.5-task-728-v3-ac5070.json,1777130447-gpt-5.5-task-728-v3-ac5070,gpt-5.5,task-728-v3,728,uuid_v4,model-registry-staging,ini,v3,1.0,unlocked,18,46,38,3,17,,18,1,1,0,0,2006,14541,1,9,1,6,0,0,1
1777130447-o3-task-728-v3-1a416e.json,1777130447-o3-task-728-v3-1a416e,o3,task-728-v3,728,uuid_v4,model-registry-staging,ini,v3,0.0,budget_exhausted,54,198,51,6,,42,,,0,0,0,34880,47123,2,14,0,38,0,0,0
1777130447-o3-task-728-v3-a940b0.json,1777130447-o3-task-728-v3-a940b0,o3,task-728-v3,728,uuid_v4,model-registry-staging,ini,v3,1.0,unlocked,51,159,55,11,44,28,51,7,1,0,0,26880,27884,3,21,0,26,0,0,1
